2024-11-03 22:53:09,250 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:09,811 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Garrison-Keillor
2024-11-03 22:53:09,812 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:10,363 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jim-Henson
2024-11-03 22:53:10,367 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:10,915 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Dr-Seuss
2024-11-03 22:53:10,917 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:11,549 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:11,554 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:12,215 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:12,216 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:12,830 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:12,833 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:13,442 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Bob-Marley
2024-11-03 22:53:13,444 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:13,454 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:13,454 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/4/
2024-11-03 22:53:13,454 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/4/
2024-11-03 22:53:14,059 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:14,060 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/4/
2024-11-03 22:53:14,060 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:14,671 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Dr-Seuss
2024-11-03 22:53:14,672 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:15,287 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:15,290 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:15,900 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Bob-Marley
2024-11-03 22:53:15,901 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:16,510 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Mother-Teresa
2024-11-03 22:53:16,514 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:17,129 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:53:17,131 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:17,744 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Charles-M-Schulz
2024-11-03 22:53:17,747 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:18,366 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/William-Nicholson
2024-11-03 22:53:18,367 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:18,974 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:18,977 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:19,547 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jorge-Luis-Borges
2024-11-03 22:53:19,549 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:20,201 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/George-Eliot
2024-11-03 22:53:20,204 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:20,216 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:20,216 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/5/
2024-11-03 22:53:20,216 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com/page/5/
2024-11-03 22:53:20,777 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:53:20,777 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com/page/5/
2024-11-03 22:53:20,777 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:53:21,334 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/George-R-R-Martin
2024-11-03 22:53:21,339 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:21,909 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/C-S-Lewis
2024-11-03 22:53:21,910 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:22,557 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:53:22,559 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:23,106 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:53:23,107 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:23,769 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:53:23,772 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:24,388 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:53:24,390 | app_logger | INFO | Данные автора успешно собраны.
